user,live_date,message_selector,classes,rawText,raw
OppLord,2023-11-18 00:52:54,           ,[[]],           ,"[<span class="""" data-a-target=""chat-line-message-body""><div class=""chat-line__message--emote-button"" data-test-selector=""emote-button""><div class=""InjectLayout-sc-1i43xsx-0 jbmPmA""><span data-a-target=""emote-name""><div class=""Layout-sc-1xcs6mc-0 eRdKzO chat-image__container""><img alt=""kaicMGM"" class=""chat-image chat-line__message--emote"" src=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/1.0"" srcset=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/1.0 1x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/2.0 2x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/3.0 4x""/></div></span></div></div><span class=""text-fragment"" data-a-target=""chat-message-text""> </span><div class=""chat-line__message--emote-button"" data-test-selector=""emote-button""><div class=""InjectLayout-sc-1i43xsx-0 jbmPmA""><span data-a-target=""emote-name""><div class=""Layout-sc-1xcs6mc-0 eRdKzO chat-image__container""><img alt=""kaicMGM"" class=""chat-image chat-line__message--emote"" src=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/1.0"" srcset=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/1.0 1x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/2.0 2x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/3.0 4x""/></div></span></div></div><span class=""text-fragment"" data-a-target=""chat-message-text""> </span><div class=""chat-line__message--emote-button"" data-test-selector=""emote-button""><div class=""InjectLayout-sc-1i43xsx-0 jbmPmA""><span data-a-target=""emote-name""><div class=""Layout-sc-1xcs6mc-0 eRdKzO chat-image__container""><img alt=""kaicMGM"" class=""chat-image chat-line__message--emote"" src=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/1.0"" srcset=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/1.0 1x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/2.0 2x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/3.0 4x""/></div></span></div></div><span class=""text-fragment"" data-a-target=""chat-message-text""> </span><div class=""chat-line__message--emote-button"" data-test-selector=""emote-button""><div class=""InjectLayout-sc-1i43xsx-0 jbmPmA""><span data-a-target=""emote-name""><div class=""Layout-sc-1xcs6mc-0 eRdKzO chat-image__container""><img alt=""kaicMGM"" class=""chat-image chat-line__message--emote"" src=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/1.0"" srcset=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/1.0 1x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/2.0 2x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/3.0 4x""/></div></span></div></div><span class=""text-fragment"" data-a-target=""chat-message-text""> </span><div class=""chat-line__message--emote-button"" data-test-selector=""emote-button""><div class=""InjectLayout-sc-1i43xsx-0 jbmPmA""><span data-a-target=""emote-name""><div class=""Layout-sc-1xcs6mc-0 eRdKzO chat-image__container""><img alt=""kaicMGM"" class=""chat-image chat-line__message--emote"" src=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/1.0"" srcset=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/1.0 1x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/2.0 2x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/3.0 4x""/></div></span></div></div><span class=""text-fragment"" data-a-target=""chat-message-text""> </span><div class=""chat-line__message--emote-button"" data-test-selector=""emote-button""><div class=""InjectLayout-sc-1i43xsx-0 jbmPmA""><span data-a-target=""emote-name""><div class=""Layout-sc-1xcs6mc-0 eRdKzO chat-image__container""><img alt=""kaicMGM"" class=""chat-image chat-line__message--emote"" src=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/1.0"" srcset=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/1.0 1x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/2.0 2x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/3.0 4x""/></div></span></div></div><span class=""text-fragment"" data-a-target=""chat-message-text""> </span><div class=""chat-line__message--emote-button"" data-test-selector=""emote-button""><div class=""InjectLayout-sc-1i43xsx-0 jbmPmA""><span data-a-target=""emote-name""><div class=""Layout-sc-1xcs6mc-0 eRdKzO chat-image__container""><img alt=""kaicMGM"" class=""chat-image chat-line__message--emote"" src=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/1.0"" srcset=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/1.0 1x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/2.0 2x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/3.0 4x""/></div></span></div></div><span class=""text-fragment"" data-a-target=""chat-message-text""> </span><div class=""chat-line__message--emote-button"" data-test-selector=""emote-button""><div class=""InjectLayout-sc-1i43xsx-0 jbmPmA""><span data-a-target=""emote-name""><div class=""Layout-sc-1xcs6mc-0 eRdKzO chat-image__container""><img alt=""kaicMGM"" class=""chat-image chat-line__message--emote"" src=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/1.0"" srcset=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/1.0 1x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/2.0 2x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/3.0 4x""/></div></span></div></div><span class=""text-fragment"" data-a-target=""chat-message-text""> </span><div class=""chat-line__message--emote-button"" data-test-selector=""emote-button""><div class=""InjectLayout-sc-1i43xsx-0 jbmPmA""><span data-a-target=""emote-name""><div class=""Layout-sc-1xcs6mc-0 eRdKzO chat-image__container""><img alt=""kaicMGM"" class=""chat-image chat-line__message--emote"" src=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/1.0"" srcset=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/1.0 1x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/2.0 2x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/3.0 4x""/></div></span></div></div><span class=""text-fragment"" data-a-target=""chat-message-text""> </span><div class=""chat-line__message--emote-button"" data-test-selector=""emote-button""><div class=""InjectLayout-sc-1i43xsx-0 jbmPmA""><span data-a-target=""emote-name""><div class=""Layout-sc-1xcs6mc-0 eRdKzO chat-image__container""><img alt=""kaicMGM"" class=""chat-image chat-line__message--emote"" src=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/1.0"" srcset=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/1.0 1x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/2.0 2x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/3.0 4x""/></div></span></div></div><span class=""text-fragment"" data-a-target=""chat-message-text""> </span><div class=""chat-line__message--emote-button"" data-test-selector=""emote-button""><div class=""InjectLayout-sc-1i43xsx-0 jbmPmA""><span data-a-target=""emote-name""><div class=""Layout-sc-1xcs6mc-0 eRdKzO chat-image__container""><img alt=""kaicMGM"" class=""chat-image chat-line__message--emote"" src=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/1.0"" srcset=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/1.0 1x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/2.0 2x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/3.0 4x""/></div></span></div></div><span class=""text-fragment"" data-a-target=""chat-message-text""> </span><div class=""chat-line__message--emote-button"" data-test-selector=""emote-button""><div class=""InjectLayout-sc-1i43xsx-0 jbmPmA""><span data-a-target=""emote-name""><div class=""Layout-sc-1xcs6mc-0 eRdKzO chat-image__container""><img alt=""kaicMGM"" class=""chat-image chat-line__message--emote"" src=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/1.0"" srcset=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/1.0 1x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/2.0 2x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_a94c1158453f4299af4c843c54479a4a/default/dark/3.0 4x""/></div></span></div></div></span>]"
Skyhighcam,2023-11-18 00:52:54,I’d just pop a molly ez,[[]],I’d just pop a molly ez,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">I’d just pop a molly ez</span></span>]"
ArkadiusAndKaiser,2023-11-18 00:52:54,??? 󠀀,[[]],??? 󠀀,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">??? 󠀀</span></span>]"
levioberry,2023-11-18 00:52:55,Ayo,[[]],Ayo,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Ayo</span></span>]"
rodorigesuuu,2023-11-18 00:52:55,i do,[[]],i do,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">i do</span></span>]"
vtlrlive,2023-11-18 00:52:56,CAP,[[]],CAP,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">CAP</span></span>]"
peterYRGxx,2023-11-18 00:52:56,Ew,[[]],Ew,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Ew</span></span>]"
abreezo1,2023-11-18 00:52:56,YBYBBB,[[]],YBYBBB,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">YBYBBB</span></span>]"
PaPiJuuaN,2023-11-18 00:52:56,omE,[[]],omE,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">omE</span></span>]"
souljalegion,2023-11-18 00:52:56,CRIPPPP,[[]],CRIPPPP,"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">CRIPPPP</span></span>]"
