user,live_date,message_selector,classes,raw
ligasofearth,2023-11-23 17:25:28,   ,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><div class=""chat-line__message--emote-button"" data-test-selector=""emote-button""><div class=""InjectLayout-sc-1i43xsx-0 jbmPmA""><span data-a-target=""emote-name""><div class=""Layout-sc-1xcs6mc-0 eRdKzO chat-image__container""><img alt=""blukit1Heart"" class=""chat-image chat-line__message--emote"" src=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_287975a442e14991832a0e7b52116f33/default/dark/1.0"" srcset=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_287975a442e14991832a0e7b52116f33/default/dark/1.0 1x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_287975a442e14991832a0e7b52116f33/default/dark/2.0 2x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_287975a442e14991832a0e7b52116f33/default/dark/3.0 4x""/></div></span></div></div><span class=""text-fragment"" data-a-target=""chat-message-text""> </span><div class=""chat-line__message--emote-button"" data-test-selector=""emote-button""><div class=""InjectLayout-sc-1i43xsx-0 jbmPmA""><span data-a-target=""emote-name""><div class=""Layout-sc-1xcs6mc-0 eRdKzO chat-image__container""><img alt=""blukit1Heart"" class=""chat-image chat-line__message--emote"" src=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_287975a442e14991832a0e7b52116f33/default/dark/1.0"" srcset=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_287975a442e14991832a0e7b52116f33/default/dark/1.0 1x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_287975a442e14991832a0e7b52116f33/default/dark/2.0 2x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_287975a442e14991832a0e7b52116f33/default/dark/3.0 4x""/></div></span></div></div><span class=""text-fragment"" data-a-target=""chat-message-text""> </span><div class=""chat-line__message--emote-button"" data-test-selector=""emote-button""><div class=""InjectLayout-sc-1i43xsx-0 jbmPmA""><span data-a-target=""emote-name""><div class=""Layout-sc-1xcs6mc-0 eRdKzO chat-image__container""><img alt=""blukit1Heart"" class=""chat-image chat-line__message--emote"" src=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_287975a442e14991832a0e7b52116f33/default/dark/1.0"" srcset=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_287975a442e14991832a0e7b52116f33/default/dark/1.0 1x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_287975a442e14991832a0e7b52116f33/default/dark/2.0 2x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_287975a442e14991832a0e7b52116f33/default/dark/3.0 4x""/></div></span></div></div><span class=""text-fragment"" data-a-target=""chat-message-text""> </span><div class=""chat-line__message--emote-button"" data-test-selector=""emote-button""><div class=""InjectLayout-sc-1i43xsx-0 jbmPmA""><span data-a-target=""emote-name""><div class=""Layout-sc-1xcs6mc-0 eRdKzO chat-image__container""><img alt=""blukit1Heart"" class=""chat-image chat-line__message--emote"" src=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_287975a442e14991832a0e7b52116f33/default/dark/1.0"" srcset=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_287975a442e14991832a0e7b52116f33/default/dark/1.0 1x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_287975a442e14991832a0e7b52116f33/default/dark/2.0 2x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_287975a442e14991832a0e7b52116f33/default/dark/3.0 4x""/></div></span></div></div></span>]"
TolonusCZ,2023-11-23 17:25:28,They are cool though,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">They are cool though</span></span>]"
TheBudz34,2023-11-23 17:25:35,Welp VOD deleted,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Welp VOD deleted</span></span>]"
Leif_LEK,2023-11-23 17:25:38,It was cute Blu,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">It was cute Blu</span></span>]"
Bernie_Baer_86,2023-11-23 17:25:38,"well, tbf we keep POINTING OUT ""the weirdest things""",[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">well, tbf we keep POINTING OUT ""the weirdest things""</span></span>]"
strykercrowd,2023-11-23 17:25:44,@antonyo486 MURICA F*** YEAH,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""mention-fragment"" data-a-target=""chat-message-mention"">@antonyo486</span><span class=""text-fragment"" data-a-target=""chat-message-text""> MURICA F*** YEAH</span></span>]"
o0Shad0wzZ0o,2023-11-23 17:25:44,Magnet stream when?,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Magnet stream when?</span></span>]"
Jinzo2188,2023-11-23 17:25:48,Do you have a Chicago one there  ,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">Do you have a Chicago one there </span><div class=""chat-line__message--emote-button"" data-test-selector=""emote-button""><div class=""InjectLayout-sc-1i43xsx-0 jbmPmA""><span data-a-target=""emote-name""><div class=""Layout-sc-1xcs6mc-0 eRdKzO chat-image__container""><img alt=""blukit1Boba"" class=""chat-image chat-line__message--emote"" src=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_eecf258493b8461ba9d336c83d762815/default/dark/1.0"" srcset=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_eecf258493b8461ba9d336c83d762815/default/dark/1.0 1x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_eecf258493b8461ba9d336c83d762815/default/dark/2.0 2x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_eecf258493b8461ba9d336c83d762815/default/dark/3.0 4x""/></div></span></div></div><span class=""text-fragment"" data-a-target=""chat-message-text""> </span><div class=""chat-line__message--emote-button"" data-test-selector=""emote-button""><div class=""InjectLayout-sc-1i43xsx-0 jbmPmA""><span data-a-target=""emote-name""><div class=""Layout-sc-1xcs6mc-0 eRdKzO chat-image__container""><img alt=""blukit1Boba"" class=""chat-image chat-line__message--emote"" src=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_eecf258493b8461ba9d336c83d762815/default/dark/1.0"" srcset=""https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_eecf258493b8461ba9d336c83d762815/default/dark/1.0 1x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_eecf258493b8461ba9d336c83d762815/default/dark/2.0 2x,https://static-cdn.jtvnw.net/emoticons/v2/emotesv2_eecf258493b8461ba9d336c83d762815/default/dark/3.0 4x""/></div></span></div></div></span>]"
antonyo486,2023-11-23 17:25:50,She went to rhe planet Terra👀👀👀,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">She went to rhe planet Terra👀👀👀</span></span>]"
cchuy89,2023-11-23 17:25:50,so that's what an airfryer looks like,[[]],"[<span class="""" data-a-target=""chat-line-message-body""><span class=""text-fragment"" data-a-target=""chat-message-text"">so that's what an airfryer looks like</span></span>]"
